Participant ID,Video file,Gloss,ASL-LEX Code
P1,15890366051589533-APPLE.mp4,APPLE,A_03_054
P1,35618482303951104-IMPOSSIBLE.mp4,IMPOSSIBLE,B_01_032
P1,6958143575951994-PARK.mp4,PARK,E_03_028
P1,8006032738002744-SOCCER 2.mp4,SOCCER2,F_03_032
P1,37542279833186454-STINK.mp4,STINK,H_01_064
P1,9498964909837952-ROSE.mp4,ROSE,G_03_024
P1,9618808117704574-HUG.mp4,HUG,G_02_036
P1,15543213389651633-TUBE.mp4,TUBE,G_03_042
P1,9162908944303221-COUNT.mp4,COUNT,G_02_054
P1,14154575310664197-NICE.mp4,NICE,G_03_059
P1,996512226187074-EASY TO_DO.mp4,EASYTODO,G_02_073
P1,0033742275375785447-INFLUENCE.mp4,INFLUENCE,H_02_031
P1,02808154918358552-PEACOCK.mp4,PEACOCK,G_02_088
P1,8068093518563271-CIRCUSWHEEL.mp4,CIRCUSWHEEL,H_02_065
P1,6652814499755777-NOSE.mp4,NOSE,G_03_075
P1,23247991626849585-GYM.mp4,GYM,G_03_003
P1,20880000068819649-WEAVE.mp4,WEAVE,H_02_081
P1,13621431540213602-SMOOTH.mp4,SMOOTH,H_02_101
P1,4520498201410337-BACKPACK.mp4,BACKPACK1,G_03_091
P1,16994877911771145-WE.mp4,WE,G_03_019
P1,7090729284366466-DOWNHILL.mp4,DOWNHILL,H_03_012
P1,19003684436528423-JUICE 2.mp4,JUICE1,G_03_035
P1,8221969382671432-SCOLD.mp4,SCOLD,H_01_008
P1,12338257144617781-POWDER.mp4,POWDER,H_01_026
P1,7480838717347633-SOCIAL.mp4,SOCIAL,H_03_030
P1,6523179384259175-PULL CONVINCE.mp4,PULLCONVINCE,G_03_069
P1,7448818785190525-CAPTURE.mp4,CAPTURE,H_03_048
P1,02551571232229133-PONDER.mp4,PONDER,H_01_043
P1,8643853796183107-JOKE.mp4,JOKE,G_03_086
P1,8782764153522997-SOCIETY.mp4,SOCIETY,H_01_002
P1,7316392299762329-WATERDROP.mp4,WATERDROP,H_01_019
P1,21344274764159632-ANYONE.mp4,ANYONE,H_01_059
P1,2381384470099226-MAPLE.mp4,MAPLE,H_03_064
P1,44939873429204336-CEMETERY.mp4,CEMETERY,H_01_037
P1,48967843716521897-FAIL.mp4,FAIL,H_01_077
P1,5670505226343947-KNIGHT.mp4,KNIGHT1,H_01_054
P1,6235541652821013-ALL OF_SUDDEN.mp4,ALLOFSUDDEN,H_01_096
P1,9037793072145501-TOTAL.mp4,TOTAL,H_01_071
P1,9060451576078816-COOL 3.mp4,COOL3,H_03_099
P1,03909340585346133-FASHION.mp4,FASHION,J_01_010
P1,6831527585028447-LONG AGO.mp4,LONGAGO,J_01_026
P1,34318091362618364-BECOME.mp4,BECOME,H_02_008
P1,001428415918161674-IMPROVE.mp4,IMPROVE,H_02_003
P1,5266228840785678-UNCERTAIN.mp4,UNCERTAIN,H_02_020
P1,1676037390807208-GREET.mp4,GREET1,J_01_042
P1,03369501517929252-PROPOSE.mp4,PROPOSE,H_02_026
P1,36286598060839914-TOSS OUT.mp4,TOSSOUT,H_02_037
P1,42981546208191546-SQUARE.mp4,SQUARE,J_01_060
P1,8517954107198269-EMPTY 2.mp4,EMPTY2,J_01_077
P1,9228494689014171-PACK.mp4,PACK,H_02_060
P1,6508465822424006-THANK YOU.mp4,THANKYOU,H_02_053
P1,721478559560571-EACH OTHER.mp4,EACHOTHER,H_02_076
P1,23746553103054158-PRECIOUS.mp4,PRECIOUS,H_02_071
P1,7054741400093962-WILL GO.mp4,WILLGO,J_01_095
P1,6490408879992484-LAY DOWN.mp4,LAYDOWN,J_02_004
P1,5880724478842327-PARANOID.mp4,PARANOID,J_02_021
